id,name,total.votes,con,green,lab,ld,snp,ukip,left.total,right.total,other,con.15,green.15,lab.15,ld.15,snp.15,ukip.15,other.15,left.total.15,right.total.15,leave.estimate,leave.exact,leave.16,brexit.swing.status.5,brexit.swing.status.10,party.swing.status.5,party.swing.status.10,tactical.remain.vote,tactical.leave.vote,winner.2015,remain.best.case,leave.best.case,remain.practical.case,leave.practical.case
E14001014,Wansbeck,38528,8386,1454,19267,2407,0,7014,23128,15400,0,21.765988372093023,3.7738787375415286,50.0077865448505,6.247404485049834,0,18.204941860465116,0,60.029069767441854,39.97093023255814,56.28990700999999,FALSE,56.28990700999999,Solid leave,Could swing to remain,Solid left,Solid left,lab,con,lab,lab,lab,lab,con
E14001015,Wantage,58320,31092,2986,9343,7611,0,7288,19940,38380,0,53.312757201646086,5.12002743484225,16.020233196159122,13.050411522633745,0,12.496570644718794,0,34.19067215363511,65.80932784636488,46.45965101,FALSE,46.45965101,Could swing to leave,Could swing to leave,Solid right,Solid right,lab,con,con,con,con,lab,con
E14001016,Warley,37829,7310,1465,22012,805,0,6237,24282,13547,0,19.323799201670678,3.872690264083111,58.188162520817365,2.1279970393084673,0,16.487350974120385,0,64.18884982420894,35.81115017579106,61.62753511,FALSE,61.62753511,Solid leave,Solid leave,Solid left,Solid left,lab,con,lab,lab,lab,lab,con
E14001017,Warrington North,45419,12797,1264,21720,1881,0,7757,24865,20554,0,28.17543318875361,2.7829762874567914,47.821396331931574,4.141438604989101,0,17.078755586868933,0,54.74581122437746,45.25418877562254,58.074391049999996,FALSE,58.074391049999996,Solid leave,Could swing to remain,Solid left,Swing,lab,con,lab,lab,lab,lab,con
E14001018,Warrington South,59353,25928,1765,23178,3335,0,4909,28278,30837,238,43.68439674489916,2.9737334254376355,39.05110103954307,5.618924064495476,0,8.270854042761107,0.4009906828635452,47.64375852947618,51.95525078766027,51.11005434,FALSE,51.11005434,Could swing to remain,Could swing to remain,Swing,Swing,lab,con,con,lab,con,lab,con
E14001019,Warwick & Leamington,50581,24249,1994,17643,2512,0,4183,22149,28432,0,47.94092643482731,3.942191732073308,34.88068642375596,4.966291690555742,0,8.269903718787686,0,43.78916984638501,56.210830153615,41.64027399,FALSE,41.64027399,Solid remain,Could swing to leave,Solid right,Solid right,lab,con,con,con,con,lab,con
E14000854,Warwickshire North,47377,20042,894,17069,978,0,8256,18941,28298,138,42.30322730438821,1.8869915781919495,36.02803047892437,2.064292800303945,0,17.426177259007535,0.29128057918399225,39.97931485742027,59.72940456339574,67.76303004,FALSE,67.76303004,Solid leave,Solid leave,Solid right,Solid right,lab,con,con,con,con,NA,NA
E14001020,Washington & Sunderland West,37257,7033,1091,20478,993,0,7321,22562,14354,341,18.876989559009044,2.9283087741900853,54.964167807391895,2.665270955793542,0,19.649998657970315,0.9152642456451137,60.557747537375526,38.526988216979355,64.5268387,TRUE,61.851332400000004,Solid leave,Solid leave,Solid left,Solid left,lab,ukip,lab,lab,lab,lab,ukip
E14001021,Watford,56149,24400,1332,14606,10152,0,5481,26090,29881,178,43.45580509002831,2.3722595237671196,26.012929882989898,18.08046447844129,0,9.761527364690377,0.3170136600829934,46.46565388519831,53.217332454718694,51.15197788,FALSE,51.15197788,Could swing to remain,Could swing to remain,Solid right,Swing,lab,con,con,con,con,lab,con
E14001022,Waveney,52196,22104,1761,19696,1055,0,7580,22512,29684,0,42.348072649245154,3.3738217487930107,37.734692313587246,2.021227680282014,0,14.522185608092574,0,43.129741742662276,56.870258257337724,63.41421905,FALSE,63.41421905,Solid leave,Solid leave,Solid right,Solid right,lab,con,con,con,con,NA,NA
E14001023,Wealden,57017,32508,3623,6165,5180,0,9541,14968,42049,0,57.01457460055773,6.3542452251083015,10.81256467369381,9.085009733939001,0,16.73360576670116,0,26.251819632741114,73.74818036725888,52.77483489,FALSE,52.77483489,Could swing to remain,Could swing to remain,Solid right,Solid right,lab,con,con,con,con,lab,con
E14001024,Weaver Vale,46867,20227,1183,19421,1395,0,4547,21999,24774,94,43.15829901636546,2.5241641240104977,41.438538843962704,2.976507990697079,0,9.701922461433417,0.2005675635308426,46.93921095867028,52.86022147779887,50.55283696,FALSE,50.55283696,Could swing to remain,Could swing to remain,Solid right,Swing,lab,con,con,con,con,lab,con
E14001025,Wellingborough,50430,26265,2218,9839,2240,0,9868,14297,36133,0,52.08209399167162,4.398175689073964,19.510212175292484,4.441800515566132,0,19.567717628395794,0,28.35018837993258,71.64981162006741,63.01966543,FALSE,63.01966543,Solid leave,Solid leave,Solid right,Solid right,lab,con,con,con,con,NA,NA
E14001026,Wells,56904,26247,2331,3780,18662,0,5644,24773,31891,240,46.12505272037115,4.096372838464783,6.642766765078026,32.79558554758892,0,9.918459159285815,0.42176296921130324,43.53472515113173,56.04351187965697,53.63034818,FALSE,53.63034818,Could swing to remain,Could swing to remain,Solid right,Solid right,ld,con,con,con,con,ld,con
E14001027,Welwyn Hatfield,50205,25281,1742,13128,3140,0,6556,18010,31837,358,50.355542276665666,3.4697739268997116,26.148789961159245,6.254357135743452,0,13.058460312717857,0.7130763868140624,35.87292102380241,63.41400258938352,52.822556109999994,FALSE,52.822556109999994,Could swing to remain,Could swing to remain,Solid right,Solid right,lab,con,con,con,con,lab,con
E14001028,Wentworth & Dearne,43189,6441,0,24571,1135,0,10733,25706,17174,309,14.913519646206211,0,56.891801153071384,2.627983977401653,0,24.8512352682396,0.7154599550811549,59.51978513047303,39.76475491444581,70.27929536,FALSE,70.27929536,Solid leave,Solid leave,Solid left,Solid left,lab,ukip,lab,lab,lab,lab,ukip
E14001029,West Bromwich East,37492,9347,628,18817,751,0,7949,20196,17296,0,24.930651872399444,1.6750240051210925,50.18937373306306,2.0030939933852556,0,21.201856396031154,0,53.86749173156941,46.1325082684306,68.17501793000001,FALSE,68.17501793000001,Solid leave,Solid leave,Solid left,Swing,lab,con,lab,lab,lab,lab,con
E14001030,West Bromwich West,35026,8365,697,0,550,0,8836,1247,17201,16578,23.88225889339348,1.9899503226174842,0,1.5702620910181007,0,25.226974247701705,47.33055444526923,3.560212413635585,49.10923314109519,68.67089363,FALSE,68.67089363,Solid leave,Solid leave,Solid right,Solid right,green,ukip,ukip,ukip,ukip,NA,NA
